product_code;ordered
2000210980015;1
2000211010025;1
2001459849064;1
2001459849361;2
2001459854051;2
2001459875643;4
2001459875650;2
2001459875667;3
2001459875674;1
2001459875681;2
2001459877869;1
2001459877890;2
2001459877920;6
2001459880067;1
2001459880425;1
2001459882153;3
2001459882207;1
2001459882221;1
2001459884287;4
2001459884324;2
2001459884911;2
2001459884928;2
2001459884942;3
2001459884966;1
2001459885079;2
2001459885116;1
2001459885192;2
2001459885208;2
2001459885215;1
2001459885222;3
2001459885246;1
2001459885376;1
2001459885550;1
2001459885598;1
2001459886250;1
2001459886489;1
2001459886502;2
2001459886540;6
2001459886595;2
2001459886670;2
2001459886731;1
2001459886823;2
2001459886861;9
2001459887080;8
2001459888391;1
2001459888483;1
2001459888506;2
